"ProjectID","Date","Country","Project Title","Sector","Public/Private","Status","CostRONm","CostTLm","CostPLNm","CostRUBm","CostUSDm","CostEURm","Cost","URL","CostCurrEURm"
"45033",2014-03-05,"Russia","Russian Grids Modernisation Loan","Power and energy","Public","",NA,NA,NA,10000,NA,200.021202247438,"RUB 10 billion.","http://www.ebrd.com/english/pages/project/psd/2014/45033.shtml",200.3262673818
"45181",2013-05-20,"Georgia","GEORGIA - Jvari-Khorga Interconnection","Power and energy","Public","S",NA,NA,NA,NA,NA,60,"The estimated project costs are EUR 60 mln.","http://www.ebrd.com/english/pages/project/psd/2013/45181.shtml",60.3625840497064
"45335",2014-02-14,"Georgia","Shuakhevi HPP","Power and energy","Private","S",NA,NA,NA,NA,NA,307,"USD 417 million (EUR 307 million).","http://www.ebrd.com/english/pages/project/psd/2014/45335.shtml",310.360930550804
"45388",2013-08-13,"Romania","Crucea North Wind Farm","Power and energy","Private","S",NA,NA,NA,NA,NA,192,"Up to EUR 192 million.","http://www.ebrd.com/english/pages/project/psd/2013/45388.shtml",193.737408229469
"45395",2013-06-20,"Regional","Graanul Invest Phase II","Power and energy","Private","S",NA,NA,NA,NA,NA,33,"EUR 33.0m","http://www.ebrd.com/english/pages/project/psd/2013/45395.shtml",33.1655471473514
"45434",2013-09-25,"Egypt","Power sector energy efficiency project","Power and energy","Public","S",NA,NA,NA,NA,892,660.809269109389,"USD 892 million.","http://www.ebrd.com/english/pages/project/psd/2013/45434.shtml",663.560067927958
"45474",2014-04-09,"Turkey","ALPASLAN II DAM HYDRO PROJECT","Power and energy","Private","BA, PS",NA,1690,NA,NA,NA,583.396333233224,"TL 1.69 billion.","http://www.ebrd.com/english/pages/project/psd/2014/45474.shtml",583.396333
"45542",2014-04-01,"Georgia","Dariali HPP","Power and energy","Private","BA, PS",NA,NA,NA,NA,NA,92,"USD 123 million (EUR 92 million).","http://www.ebrd.com/english/pages/project/psd/2014/45542.shtml",92
"45552",2014-02-17,"Kosovo","Kosovo Transmission Development Project","Power and energy","Public","BA, PS",NA,NA,NA,NA,NA,36.5,"€36.5 million.","http://www.ebrd.com/english/pages/project/psd/2014/45552.shtml",36.8995894628806
"45618",2013-11-11,"Kazakhstan","Yereymentau Wind Farm","Power and energy","Public","PCR, PFR",NA,NA,NA,NA,NA,90,"EUR 90 million.","http://www.ebrd.com/english/pages/project/psd/2013/45618.shtml",90.5592917340598
"45673",2013-12-20,"Jordan","IDECO Modernisation & Expansion Project","Power and energy","Public","PSR, PFR",NA,NA,NA,NA,50,36.4817044252307,"Up to US$50 million, or equivalent in local currency.","http://www.ebrd.com/english/pages/project/psd/2013/45673.shtml",36.5807381472684
"45739",2014-06-20,"Poland","Darlowo Wind","Power and energy","Private","PCR, PFR",NA,NA,NA,NA,NA,150,"Approximately PLN 620 million (€150 million).","http://www.ebrd.com/english/pages/project/psd/2014/45739.shtml",150
"45771",2013-09-13,"Russia","Far East Distribution Loan","Power and energy","Public","S",NA,NA,NA,NA,NA,204,"The total operation amount for the Project is estimated at RUB 9bn (EUR 204mn).","http://www.ebrd.com/english/pages/project/psd/2013/45771.shtml",204.849205674964
